"cluster","median.target","median.matched","pval","comparison","FDR","significant","cluster.dynamics"
"c1.2L.1_5",0.0342251666666667,0.00290568333333333,2.67346253037875e-14,"2_4",5.48059818727644e-14,"yes","positive"
"c1.3R.1_5",0.0147370333333333,0.000294300000000001,1.23083949746471e-26,"2_4",4.09170968076106e-26,"yes","positive"
"c1.X.1_5",-0.00138225000000001,0.000622325000000014,0.00484749376413252,"2_4",0.0057887546892068,"yes","negative"
"c1.3L.1_5",0.012546895,0.0003015125,4.65819138972739e-76,"2_4",3.01556600492878e-75,"yes","positive"
"c1.2R.1_5",0.00858866666666663,0.00047733333333333,3.18176098281589e-90,"2_4",2.79540429204539e-89,"yes","positive"
"c2.3L.1_5",0.00295633333333334,0.00018358333333332,0.824221390328506,"2_4",0.830977303363986,"no","neutral"
"c2.3R.1_5",0.0144638333333332,0.000482716666666667,1.63246961759185e-108,"2_4",2.00793762963798e-107,"yes","positive"
"c3.3L.1_5",0.00718074666666667,0.000633833333333333,5.74226213037053e-82,"2_4",4.15469554138574e-81,"yes","positive"
"c2.X.1_5",0.00489910833333333,0.00157374999999999,3.90937803128852e-06,"2_4",5.40284829043245e-06,"yes","positive"
"c2.2L.1_5",0.0163571666666667,0.001666,1.35936130099817e-12,"2_4",2.61252250035586e-12,"yes","positive"
"c3.X.1_5",-0.00393975,0.000486333333333366,1.74301674099064e-15,"2_4",3.89801925712452e-15,"yes","negative"
"c3.2L.1_5",0.0176054999999999,0.00315633333333332,2.60980003429024e-18,"2_4",6.5511306983204e-18,"yes","positive"
"c4.2L.1_5",0.0124939166666667,0.0025209,2.76600542659736e-15,"2_4",5.86583909433578e-15,"yes","positive"
"c5.2L.1_5",0.0199221833333333,0.00168165,4.01349434116931e-83,"2_4",3.08537377477391e-82,"yes","positive"
"c4.X.1_5",0.00236005,-0.000398141666666667,0.0128459825293434,"2_4",0.0150481509629451,"yes","positive"
"c2.2R.1_5",0.0129400000000001,-0.000673266666666665,2.46359112356029e-79,"2_4",1.68345393443286e-78,"yes","positive"
"c6.2L.1_5",0.0216370166666666,0.0012240175,3.61667896321147e-21,"2_4",1.03453840110468e-20,"yes","positive"
