"label","timepoint","cage","cage.treat","cage.treat2","rep","X184.M","X188.M","X192.M","X208.M","X212.M","X216.M","X232.M","X236.M","X240.M","X256.M","X260.M","X264.M","X280.M","X284.M","X288.M","X304.M","X308.M","X312.M","X328.M","X332.M","X336.M","X352.M","X356.M","X360.M","X376.M","X380.M","X384.M","X400.M","X404.M","X408.M","M.Total.Count","M.count.x.time","M.AVG.LD"
"B-1-a1",0,"founder","C","C",1,0,0,0,0,0,4,7,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"3512","234.1333333"
"B-1-a2",0,"founder","C","C",2,0,0,0,0,0,4,6,0,8,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,"4984","237.3333333"
"B-1-a3",0,"founder","C","C",3,0,0,0,0,0,1,5,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"2664","242.1818182"
"B-1-a4",0,"founder","C","C",4,0,0,0,0,0,3,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"2552","232"
"B-2-a1",0,"founder","C","C",1,0,0,0,4,0,6,2,0,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"4400","231.5789474"
"B-2-a2",0,"founder","C","C",2,0,0,0,0,0,2,8,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"3528","235.2"
"B-2-a3",0,"founder","C","C",3,0,0,0,0,0,4,7,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,"3320","237.1428571"
"B-2-a4",0,"founder","C","C",4,0,0,0,0,0,2,7,0,2,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,"3912","244.5"
"B-3-a1",0,"founder","C","C",1,0,0,0,0,0,1,4,0,6,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"4672","245.8947368"
"B-3-a2",0,"founder","C","C",2,0,0,0,0,0,0,5,0,7,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"4720","248.4210526"
"B-3-a3",0,"founder","C","C",3,0,0,0,0,0,3,2,0,7,2,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,"5264","250.6666667"
"B-3-a4",0,"founder","C","C",4,0,0,0,0,0,1,3,0,3,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"4608","256"
"B-4-a1",0,"founder","C","C",1,0,0,0,0,0,0,5,0,4,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"4696","247.1578947"
"B-4-a2",0,"founder","C","C",2,0,0,0,0,0,1,6,0,5,5,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,"5760","250.4347826"
"B-4-a3",0,"founder","C","C",3,0,0,0,0,0,1,8,0,11,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,"5552","241.3913043"
"B-4-a4",0,"founder","C","C",4,0,0,0,0,0,4,6,0,5,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,"5576","242.4347826"
"B-0-Lb1",0,"founder","MA","LB",1,0,0,2,18,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,"6964","211.030303"
"B-0-Lb2",0,"founder","MA","LB",2,0,0,2,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"5384","207.0769231"
"B-0-Lb3",0,"founder","MA","LB",3,0,0,5,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,"4504","204.7272727"
"B-0-Lb4",0,"founder","MA","LB",4,0,0,4,17,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,"5832","208.2857143"
"B-0-At1",0,"founder","MA","AT",1,0,0,0,4,3,5,8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,"6788","226.2666667"
"B-0-At2",0,"founder","MA","AT",2,0,0,2,7,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,"5376","215.04"
"B-0-At3",0,"founder","MA","AT",3,1,0,1,8,2,9,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,"7464","219.5294118"
"B-0-At4",0,"founder","MA","AT",4,1,0,1,9,4,5,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,"6096","217.7142857"
"T2-A1-a1",2,"A1","C","C",1,0,0,0,0,0,0,9,1,2,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,"5416","257.9047619"
"T2-A1-a2",2,"A1","C","C",2,0,0,0,0,0,1,6,3,5,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,"5880","255.6521739"
"T2-A1-a3",2,"A1","C","C",3,0,0,0,0,0,2,7,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"4528","238.3157895"
"T2-A2-a1",2,"A2","C","C",1,0,0,0,2,0,1,7,6,4,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"6520","241.4814815"
"T2-A2-a2",2,"A2","C","C",2,0,0,0,1,3,3,9,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,"4892","232.952381"
"T2-A2-a3",2,"A2","C","C",3,0,0,0,0,2,4,10,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"5612","233.8333333"
