"label","cage","vialcount","viability","cage.treat","cage.treat2","timepoint"
"B-1-a1","founder",28,0.56,"C","C","0"
"B-1-a2","founder",37,0.74,"C","C","0"
"B-1-a3","founder",31,0.62,"C","C","0"
"B-1-a4","founder",29,0.58,"C","C","0"
"B-2-a1","founder",33,0.66,"C","C","0"
"B-2-a2","founder",34,0.68,"C","C","0"
"B-2-a3","founder",37,0.74,"C","C","0"
"B-2-a4","founder",32,0.64,"C","C","0"
"B-3-a1","founder",33,0.66,"C","C","0"
"B-3-a2","founder",38,0.76,"C","C","0"
"B-3-a3","founder",48,0.96,"C","C","0"
"B-3-a4","founder",36,0.72,"C","C","0"
"B-4-a1","founder",36,0.72,"C","C","0"
"B-4-a2","founder",38,0.76,"C","C","0"
"B-4-a3","founder",35,0.7,"C","C","0"
"B-4-a4","founder",39,0.78,"C","C","0"
"B-0-Lb1","founder",60,1,"MA","LB","0"
"B-0-Lb2","founder",60,1,"MA","LB","0"
"B-0-Lb3","founder",50,1,"MA","LB","0"
"B-0-Lb4","founder",49,0.98,"MA","LB","0"
"B-0-At1","founder",57,1,"MA","AT","0"
"B-0-At2","founder",50,1,"MA","AT","0"
"B-0-At3","founder",55,1,"MA","AT","0"
"B-0-At4","founder",49,0.98,"MA","AT","0"
"T2-A1-a1","A1",42,0.84,"C","C","2"
"T2-A1-a2","A1",47,0.94,"C","C","2"
"T2-A1-a3","A1",40,0.8,"C","C","2"
"T2-A2-a1","A2",55,1,"C","C","2"
"T2-A2-a2","A2",39,0.78,"C","C","2"
"T2-A2-a3","A2",37,0.74,"C","C","2"
"T2-A3-a1","A3",34,0.68,"C","C","2"
"T2-A3-a2","A3",32,0.64,"C","C","2"
"T2-A3-a3","A3",42,0.84,"C","C","2"
"T2-A4-a1","A4",53,1,"C","C","2"
"T2-A4-a2","A4",42,0.84,"C","C","2"
"T2-A4-a3","A4",40,0.8,"C","C","2"
"T2-A5-a1","A5",38,0.76,"C","C","2"
"T2-A5-a2","A5",46,0.92,"C","C","2"
"T2-A5-a3","A5",48,0.96,"C","C","2"
"T2-A6-a1","A6",39,0.78,"C","C","2"
"T2-A6-a2","A6",49,0.98,"C","C","2"
"T2-A6-a3","A6",48,0.96,"C","C","2"
"T2-1-n1","1",53,1,"MA","LB","2"
"T2-1-n2","1",38,0.76,"MA","LB","2"
"T2-1-n3","1",59,1,"MA","LB","2"
"T2-2-n1","2",47,0.94,"MA","AT","2"
"T2-2-n2","2",34,0.68,"MA","AT","2"
"T2-2-n3","2",48,0.96,"MA","AT","2"
"T2-3-n1","3",41,0.82,"MA","LB","2"
"T2-3-n2","3",46,0.92,"MA","LB","2"
"T2-3-n3","3",49,0.98,"MA","LB","2"
"T2-4-n1","4",48,0.96,"MA","AT","2"
"T2-4-n2","4",33,0.66,"MA","AT","2"
"T2-4-n3","4",47,0.94,"MA","AT","2"
"T2-5-n1","5",45,0.9,"MA","LB","2"
"T2-5-n2","5",44,0.88,"MA","LB","2"
"T2-5-n3","5",56,1,"MA","LB","2"
"T2-6-n1","6",39,0.78,"MA","AT","2"
"T2-6-n2","6",53,1,"MA","AT","2"
"T2-6-n3","6",47,0.94,"MA","AT","2"
"T2-7-n1","7",47,0.94,"MA","LB","2"
"T2-7-n2","7",32,0.64,"MA","LB","2"
"T2-7-n3","7",51,1,"MA","LB","2"
"T2-8-n1","8",45,0.9,"MA","AT","2"
"T2-8-n2","8",67,1,"MA","AT","2"
"T2-8-n3","8",41,0.82,"MA","AT","2"
"T2-9-n1","9",28,0.56,"MA","LB","2"
"T2-9-n2","9",35,0.7,"MA","LB","2"
"T2-9-n3","9",37,0.74,"MA","LB","2"
"T2-10-n1","10",38,0.76,"MA","AT","2"
"T2-10-n2","10",28,0.56,"MA","AT","2"
"T2-10-n3","10",36,0.72,"MA","AT","2"
"T2-11-n1","11",41,0.82,"MA","LB","2"
"T2-11-n2","11",56,1,"MA","LB","2"
"T2-11-n3","11",39,0.78,"MA","LB","2"
"T2-12-n1","12",53,1,"MA","AT","2"
"T2-12-n2","12",42,0.84,"MA","AT","2"
"T2-12-n3","12",30,0.6,"MA","AT","2"
"T4-A1-a1","A1",40,0.8,"C","C","4"
"T4-A1-a2","A1",59,1,"C","C","4"
"T4-A1-a3","A1",56,1,"C","C","4"
"T4-A2-a1","A2",55,1,"C","C","4"
"T4-A2-a2","A2",44,0.88,"C","C","4"
"T4-A2-a3","A2",50,1,"C","C","4"
"T4-A3-a1","A3",65,1,"C","C","4"
"T4-A3-a2","A3",42,0.84,"C","C","4"
"T4-A3-a3","A3",64,1,"C","C","4"
"T4-A4-a1","A4",57,1,"C","C","4"
"T4-A4-a2","A4",58,1,"C","C","4"
"T4-A4-a3","A4",62,1,"C","C","4"
"T4-A5-a1","A5",52,1,"C","C","4"
"T4-A5-a2","A5",55,1,"C","C","4"
"T4-A5-a3","A5",49,0.98,"C","C","4"
"T4-A6-a1","A6",56,1,"C","C","4"
"T4-A6-a2","A6",56,1,"C","C","4"
"T4-A6-a3","A6",60,1,"C","C","4"
"T4-1-n1","1",36,0.72,"MA","LB","4"
"T4-1-n2","1",43,0.86,"MA","LB","4"
"T4-1-n3","1",54,1,"MA","LB","4"
"T4-2-n1","2",53,1,"MA","AT","4"
"T4-2-n2","2",48,0.96,"MA","AT","4"
"T4-2-n3","2",39,0.78,"MA","AT","4"
