"cluster","median.target","median.matched","pval","comparison","FDR","significant","cluster.dynamics"
"c1.2L.1_5",0.0146937666666667,0.00435742666666667,4.59158543116549e-06,"2_4",6.00813838333357e-06,"yes","positive"
"c1.3R.1_5",0.00944823333333344,-0.000959873333333333,7.86409431356126e-20,"2_4",2.05805021397454e-19,"yes","positive"
"c1.X.1_5",0.02518175,0.00173485000000001,2.30499383047118e-95,"2_4",2.18087877806119e-94,"yes","positive"
"c1.3L.1_5",0.00226301433333333,-0.000301961666666668,2.97051318027234e-06,"2_4",3.97144696927715e-06,"yes","positive"
"c1.2R.1_5",0.0142565333333333,0.00103066333333333,1.96816604885047e-189,"2_4",4.03474040014346e-188,"yes","positive"
"c2.3L.1_5",0.0178202216666667,0.00187311666666665,1.66717916478924e-12,"2_4",3.15481595798579e-12,"yes","positive"
"c2.3R.1_5",0.01714455,8.50333333333453e-05,7.0521662730225e-237,"2_4",2.16854112895442e-235,"yes","positive"
"c3.3L.1_5",0.00342293333333332,0.000767399999999974,1.52446321836521e-22,"2_4",4.68772439647302e-22,"yes","positive"
"c2.X.1_5",0.006703445,-1.65583333333469e-05,1.86318020464618e-10,"2_4",3.32132123436928e-10,"yes","positive"
"c2.2L.1_5",0.00198187333333333,0.00268333,0.480240822551845,"2_4",0.484177222736696,"no","neutral"
"c3.X.1_5",0.010704,0.00149945999999999,1.47588760447245e-17,"2_4",3.42517311981342e-17,"yes","positive"
"c3.2L.1_5",0.0119335066666667,0.0032466333333333,1.3696762068405e-09,"2_4",2.15987401847925e-09,"yes","positive"
"c4.2L.1_5",0.00852663666666666,0.00232303333333328,1.59752034215236e-09,"2_4",2.48727850740178e-09,"yes","positive"
"c5.2L.1_5",0.01789971,0.00318716583333333,2.2931067646605e-51,"2_4",1.22631361762279e-50,"yes","positive"
"c4.X.1_5",0.00732985000000004,0.00215603333333336,3.12398148345923e-15,"2_4",6.62499521492216e-15,"yes","positive"
"c2.2R.1_5",0.0201086333333333,0.00127784,7.48687918441712e-137,"2_4",1.02320682187034e-135,"yes","positive"
"c6.2L.1_5",0.0103077066666667,1.794166666667e-05,5.29657847296578e-07,"2_4",7.40317218380444e-07,"yes","positive"
"c5.X.1_5",0.0133256666666666,0.00175485,9.42835998747884e-15,"2_4",1.93281379743316e-14,"yes","positive"
"c7.2L.1_5",0.0278437266666667,0.00494118333333333,3.31460826815663e-19,"2_4",8.32034320374011e-19,"yes","positive"
"c3.2R.1_5",0.00680224500000001,0.00140320333333333,0.00448931578811388,"2_4",0.00525891278036197,"yes","positive"
"c3.3R.1_5",0.00902579333333333,0.00040594,3.63590469714924e-69,"2_4",2.79510173593348e-68,"yes","positive"
"c4.2R.1_5",0.00789643666666667,0.00113755833333334,5.59764709595333e-10,"2_4",9.30419720003054e-10,"yes","positive"
"c8.2L.1_5",0.0140732,0.00307088,7.03576117398466e-52,"2_4",3.93363011090961e-51,"yes","positive"
"c6.X.1_5",0.00681084166666667,-0.000460399999999972,3.76609714381519e-07,"2_4",5.32448216884216e-07,"yes","positive"
