"cluster","median.target","median.matched","pval","comparison","FDR","significant","cluster.dynamics"
"c1.2L.1_5",0.0278013166666667,0.00338945681818182,2.85881334799601e-14,"2_4",4.84958374208202e-14,"yes","positive"
"c1.3R.1_5",0.0108159393939394,-0.000386352272727271,2.32309807868789e-28,"2_4",6.96929423606367e-28,"yes","positive"
"c1.X.1_5",0.0133838522727273,0.00109782954545457,1.13458105293858e-49,"2_4",4.50172482294985e-49,"yes","positive"
"c1.3L.1_5",0.00732439915530303,-0.000116025757575757,1.2535267576028e-58,"2_4",5.93014581481325e-58,"yes","positive"
"c1.2R.1_5",0.0117610227272728,0.00129806212121211,1.12906158902621e-210,"2_4",1.7359321931278e-209,"yes","positive"
"c2.3L.1_5",0.0100353268939394,0.00152330303030302,1.80057011338652e-06,"2_4",2.1712757249661e-06,"yes","positive"
"c2.3R.1_5",0.0148733106060606,0.000498875757575762,7.60330788795094e-220,"2_4",1.55867811702994e-218,"yes","positive"
"c3.3L.1_5",0.00505487121212123,0.000528803030303004,1.100226135853e-77,"2_4",6.44418165285328e-77,"yes","positive"
"c2.X.1_5",0.00660545265151515,0.00114730946969697,5.37807488770294e-12,"2_4",8.06711233155441e-12,"yes","positive"
"c2.2L.1_5",0.00801687803030304,0.00112081136363637,1.73275151211241e-05,"2_4",2.02979462847454e-05,"yes","positive"
"c3.X.1_5",0.00196894242424242,0.000852565151515154,0.641460337581561,"2_4",0.6574968460211,"no","neutral"
"c3.2L.1_5",0.013772575,0.0030225454545455,1.06528995880608e-19,"2_4",2.47227669685185e-19,"yes","positive"
"c4.2L.1_5",0.0117011303030303,0.00199066136363636,1.58494782816472e-17,"2_4",3.04607160725407e-17,"yes","positive"
"c5.2L.1_5",0.0183866579545455,0.00250315227272727,1.39792317953464e-90,"2_4",1.01143853578095e-89,"yes","positive"
"c4.X.1_5",0.00511625719696969,0.000610028787878788,5.0538904671597e-12,"2_4",7.67442626494621e-12,"yes","positive"
"c2.2R.1_5",0.0174446121212121,0.000396931818181817,4.03921245356882e-139,"2_4",4.14019276490804e-138,"yes","positive"
"c6.2L.1_5",0.0147338651515152,-0.00195250113636363,5.30310231960476e-19,"2_4",1.1647885451989e-18,"yes","positive"
"c5.X.1_5",0.0142492882575758,0.00109510075757576,5.40468891765005e-43,"2_4",1.95522569667928e-42,"yes","positive"
"c7.2L.1_5",0.0130714765151515,0.00372452272727273,3.56110034789679e-10,"2_4",5.03465911254374e-10,"yes","positive"
"c3.2R.1_5",0.00669953636363636,0.00217389659090909,5.8922225225259e-08,"2_4",7.34251225556671e-08,"yes","positive"
"c3.3R.1_5",0.00820143106060606,0.000255656060606055,1.22160669691103e-83,"2_4",7.90829598526614e-83,"yes","positive"
"c4.2R.1_5",0.00736172386363637,0.000467418939393954,7.39578669966524e-17,"2_4",1.31837936820119e-16,"yes","positive"
"c8.2L.1_5",0.016504546969697,0.00294200757575758,2.43108773602571e-93,"2_4",1.86889869706976e-92,"yes","positive"
"c6.X.1_5",0.00757797954545455,0.00080116704545455,2.14374501069634e-11,"2_4",3.06605391064709e-11,"yes","positive"
"c5.2R.1_5",0.0138688602272727,0.000350126893939408,1.58296204374959e-25,"2_4",4.52800770653952e-25,"yes","positive"
"c6.2R.1_5",0.00251245606060606,-5.8537878787901e-05,0.832069961652121,"2_4",0.838890207239433,"no","neutral"
"c7.2R.1_5",0.0077984393939394,0.0010066704545455,1.260279151649e-05,"2_4",1.49052245820026e-05,"yes","positive"
"c8.2R.1_5",0.0102238962121212,0.000188977272727275,7.57819774914869e-17,"2_4",1.33159760449327e-16,"yes","positive"
"c9.2L.1_5",0.0118932121212121,0.00277002575757575,1.25648867805639e-16,"2_4",2.17673390705544e-16,"yes","positive"
"c9.2R.1_5",0.0113133863636364,0.000470163257575758,1.31296646735188e-07,"2_4",1.61494875484281e-07,"yes","positive"
"c10.2R.1_5",0.01217855,0.000469882575757571,3.0892029375498e-61,"2_4",1.5198878452745e-60,"yes","positive"
"c4.3R.1_5",0.00152215189393939,-0.000312573106060612,0.21432741390015,"2_4",0.225318563330927,"no","neutral"
"c10.2L.1_5",0.0205859261363637,0.00265468295454547,4.57691069296593e-13,"2_4",7.40736862151065e-13,"yes","positive"
"c11.2L.1_5",0.0207113333333333,0.00125587386363637,2.6450808566257e-19,"2_4",5.91536264299929e-19,"yes","positive"
"c12.2L.1_5",0.0186833712121212,0.00273529545454548,1.15532699980868e-41,"2_4",4.06014917075622e-41,"yes","positive"
"c11.2R.1_5",0.0152651325757576,0.000206592424242424,3.70035016382592e-35,"2_4",1.16703351320664e-34,"yes","positive"
"c4.3L.1_5",0.0215334166666666,0.00106762196969698,1.23341405551279e-161,"2_4",1.68566587586748e-160,"yes","positive"
"c5.3R.1_5",0.00740144886363635,0.00038372803030303,3.79858525677197e-62,"2_4",1.94677494409563e-61,"yes","positive"
"c13.2L.1_5",0.0113151821969697,0.00236260984848487,2.47494471098194e-09,"2_4",3.38242443834199e-09,"yes","positive"
"c12.2R.1_5",0.0109931700757575,0.00227198212121212,1.86171311530398e-19,"2_4",4.24056876263684e-19,"yes","positive"
"c14.2L.1_5",0.0100839166666667,0.0023774772727273,4.5825654387467e-54,"2_4",2.01305553202087e-53,"yes","positive"
"c6.3R.1_5",0.00185295795454545,0.000508420454545456,0.0042042623505841,"2_4",0.0046587771992959,"yes","positive"
"c15.2L.1_5",0.0146450340909091,0.000983503787878789,1.19437410405205e-05,"2_4",1.42629140580973e-05,"yes","positive"
"c7.3R.1_5",0.0140677954545455,0.00130144469696969,1.89983265188049e-25,"2_4",5.31089582230228e-25,"yes","positive"
"c8.3R.1_5",0.0112252863636364,0.00060163219696964,5.58974024905812e-18,"2_4",1.1089323397325e-17,"yes","positive"
"c16.2L.1_5",0.0138800386363636,0.00277563257575761,2.51797909918839e-102,"2_4",2.06474286133448e-101,"yes","positive"
"c7.X.1_5",0.000601659090909146,0.000319313636363637,0.0210435347353322,"2_4",0.0229057944464235,"yes","positive"
"c9.3R.1_5",0.00653657196969696,-0.000151084848484848,1.76621901126571e-18,"2_4",3.62074897309471e-18,"yes","positive"
"c5.3L.1_5",0.000790591666666667,0.000443128787878833,0.0609532423248944,"2_4",0.0651934678779305,"no","neutral"
"c13.2R.1_5",0.0237210454545455,0.001300606060606,2.38383339066851e-87,"2_4",1.62895281695682e-86,"yes","positive"
"c8.X.1_5",0.00617142424242426,0.000137705681818181,1.66706870262186e-17,"2_4",3.15460692957675e-17,"yes","positive"
"c14.2R.1_5",0.000652641969696967,0.000960756818181816,0.998461415750724,"2_4",0.998461415750724,"no","neutral"
"c10.3R.1_5",0.0128745303030303,9.30037878787981e-05,3.74135374463424e-62,"2_4",1.94677494409563e-61,"yes","positive"
"c6.3L.1_5",0.00708065212121212,-0.00165274962121213,3.07536990128143e-08,"2_4",3.90364348615711e-08,"yes","positive"
"c17.2L.1_5",0.0152908863636363,0.00266955303030297,5.6906687627251e-25,"2_4",1.55544946181153e-24,"yes","positive"
"c9.X.1_5",0.00236749871212121,-0.00153273636363636,0.000881189378659991,"2_4",0.00100357679236277,"yes","positive"
"c11.3R.1_5",0.00453731174242424,0.00153503147727272,0.0347074912291212,"2_4",0.0374475563261571,"yes","positive"
"c7.3L.1_5",0.0135387022727273,0.000502240909090901,8.93283739327834e-150,"2_4",9.98853635793851e-149,"yes","positive"
"c18.2L.1_5",0.0222648636363636,0.00276009469696969,4.54628294276245e-294,"2_4",1.39798200489945e-292,"yes","positive"
"c15.2R.1_5",0.0269092196969697,0.00139125757575753,3.25706697975843e-20,"2_4",8.01238477020574e-20,"yes","positive"
"c12.3R.1_5",0.0046749053030303,0.000288621212121226,0.000894294904180218,"2_4",0.00100915846985474,"yes","positive"
"c19.2L.1_5",0.00893962045454546,0.00248335984848484,6.78589358209212e-19,"2_4",1.46432440455672e-18,"yes","positive"
"c20.2L.1_5",0.0180107045454546,0.00270409090909091,6.98361671220859e-212,"2_4",1.22712122228808e-210,"yes","positive"
"c16.2R.1_5",0.00572698484848488,0.00138903030303031,6.40492596675859e-17,"2_4",1.15853807928133e-16,"yes","positive"
"c8.3L.1_5",0.0194240606060606,0.00185818181818181,2.33675284539892e-24,"2_4",6.24827391269711e-24,"yes","positive"
"c10.X.1_5",0.00292881590909091,-0.0015554106060606,0.000622557143352331,"2_4",0.000715649800302212,"yes","positive"
"c11.X.1_5",0.00584441098484849,0.00025960681818182,8.63270431145139e-13,"2_4",1.37899042897211e-12,"yes","positive"
"c9.3L.1_5",0.00941968181818187,0.000646553030303032,1.10653621871726e-11,"2_4",1.60122299884968e-11,"yes","positive"
"c17.2R.1_5",0.0109120420454546,0.00308421325757575,3.0784830744491e-08,"2_4",3.90364348615711e-08,"yes","positive"
"c10.3L.1_5",0.00855658333333333,0.00201373484848488,3.15235364070682e-07,"2_4",3.83900492878157e-07,"yes","positive"
"c11.3L.1_5",0.0121914696969697,0.000801537878787895,6.7770031351692e-34,"2_4",2.08392846406453e-33,"yes","positive"
"c18.2R.1_5",0.0143300454545455,-0.00122474242424242,5.90982693740735e-08,"2_4",7.34251225556671e-08,"yes","positive"
"c13.3R.1_5",0.00993331128787879,0.00166096590909087,5.4620188295803e-09,"2_4",7.22396038750943e-09,"yes","positive"
"c19.2R.1_5",0.0113552481060606,3.0549242424266e-05,8.09097362222846e-12,"2_4",1.18474970896917e-11,"yes","positive"
"c21.2L.1_5",0.00766718446969697,0.0024558768939394,8.25273341348551e-23,"2_4",2.15975789331642e-22,"yes","positive"
"c20.2R.1_5",0.0121562386363636,0.00228499431818182,1.99460070499202e-21,"2_4",5.11116430654205e-21,"yes","positive"
"c14.3R.1_5",0.00439219386363637,0.000117576515151516,1.21391114927824e-45,"2_4",4.66597098003824e-45,"yes","positive"
"c12.3L.1_5",0.00854528814393939,-0.00160034443181818,5.80299479383918e-09,"2_4",7.59328042172574e-09,"yes","positive"
