Date,Cage_treatment,Cage_number,Pic_1_count,Pic_2_count,Pic_3_count,Pic_4_count,Picture_total,pic avg,est_avg,est_tot,est_1,est_2,est_3,est_4,est_total 
7/21/2020,LB,LB1,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,AT,AT2,64,64,64,64,64,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,LB,LB3,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,AT,AT4,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,LB,LB5,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,AT,AT6,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,LB,LB7,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,AT,AT8,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,LB,LB9,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,AT,AT10,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,LB,LB11,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,AT,AT12,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,Apple,A1,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,Apple,A2,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,Apple,A3,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,Apple,A4,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,Apple,A5,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,Apple,A6,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,Bloom,B1,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,Bloom,B2,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,Bloom,B3,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,Bloom,B4,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,Bloom,B5,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/2020,Bloom,B6,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
8/14/2020,LB,LB1,189,95,83,56,423,105.75,4230,16920,7560,3800,3320,2240,16920
8/14/2020,AT,AT2,261,34,46,73,414,103.5,4140,16560,10440,1360,1840,2920,16560
8/14/2020,LB,LB3,162,29,13,14,218,54.5,2180,8720,6480,1160,520,560,8720
8/14/2020,AT,AT4,101,144,254,43,542,135.5,5420,21680,4040,5760,10160,1720,21680
8/14/2020,LB,LB5,161,23,46,844,1074,268.5,10740,42960,6440,920,1840,33760,42960
8/14/2020,AT,AT6,92,109,26,315,542,135.5,5420,21680,3680,4360,1040,12600,21680
8/14/2020,LB,LB7,108,510,227,51,896,224,8960,35840,4320,20400,9080,2040,35840
8/14/2020,AT,AT8,185,95,24,202,506,126.5,5060,20240,7400,3800,960,8080,20240
8/14/2020,LB,LB9,235,215,172,72,694,173.5,6940,27760,9400,8600,6880,2880,27760
8/14/2020,AT,AT10,271,139,53,168,631,157.75,6310,25240,10840,5560,2120,6720,25240
8/14/2020,LB,LB11,481,445,114,126,1166,291.5,11660,46640,19240,17800,4560,5040,46640
8/14/2020,AT,AT12,228,415,51,262,956,239,9560,38240,9120,16600,2040,10480,38240
8/14/2020,Apple,A1,446,387,79,46,958,239.5,9580,38320,17840,15480,3160,1840,38320
8/14/2020,Apple,A2,261,62,35,1097,1455,363.75,14550,58200,10440,2480,1400,43880,58200
8/14/2020,Apple,A3,48,1039,239,218,1544,386,15440,61760,1920,41560,9560,8720,61760
8/14/2020,Apple,A4,14,130,1301,674,2119,529.75,21190,84760,560,5200,52040,26960,84760
8/14/2020,Apple,A5,12,37,45,308,402,100.5,4020,16080,480,1480,1800,12320,16080
8/14/2020,Apple,A6,414,96,65,205,780,195,7800,31200,16560,3840,2600,8200,31200
8/14/2020,Bloom,B1,280,32,224,112,648,162,6480,25920,11200,1280,8960,4480,25920
8/14/2020,Bloom,B2,288,33,30,144,495,123.75,4950,19800,11520,1320,1200,5760,19800
8/14/2020,Bloom,B3,17,34,41,86,178,44.5,1780,7120,680,1360,1640,3440,7120
8/14/2020,Bloom,B4,568,86,13,62,729,182.25,7290,29160,22720,3440,520,2480,29160
8/14/2020,Bloom,B5,103,37,29,530,699,174.75,6990,27960,4120,1480,1160,21200,27960
