"label","cage","fecund1","fecund2","fecund3","totalfecund","cage.treat","cage.treat2","timepoint"
"B-1-a1","founder","51.6",12.8,9,"73.4","C","C","0"
"B-1-a2","founder","55.2",9.2,9.8,"74.2","C","C","0"
"B-1-a3","founder","51.8",11,10.6,"73.4","C","C","0"
"B-2-a1","founder","59.4",13.6,0,"73","C","C","0"
"B-2-a2","founder","51.2",8.4,7.8,"67.4","C","C","0"
"B-2-a3","founder","41",10.6,8,"59.6","C","C","0"
"B-3-a1","founder","28.8",23,10.6,"62.4","C","C","0"
"B-3-a2","founder","26.8",7.2,7.4,"41.4","C","C","0"
"B-3-a3","founder","21",8,7,"36","C","C","0"
"B-4-a1","founder","49",12.2,7.2,"68.4","C","C","0"
"B-4-a2","founder","40.6",9.6,6.4,"56.6","C","C","0"
"B-4-a3","founder","28.4",6.4,5,"39.8","C","C","0"
"B-0-Lb1","founder","30.4",3.6,3.4,"37.4","MA","LB","0"
"B-0-Lb2","founder","31.2",3.8,3.6,"38.6","MA","LB","0"
"B-0-Lb3","founder","29.6",3.4,3,"36","MA","LB","0"
"B-0-At1","founder","23.6",3.8,3,"30.4","MA","AT","0"
"B-0-At2","founder","17.6",3.6,2,"23.2","MA","AT","0"
"B-0-At3","founder","26.4",4.4,3,"33.8","MA","AT","0"
"T2-A1-a1","A1","29.6",7.6,3.8,"41","C","C","2"
"T2-A1-a2","A1","40.4",7.6,7.8,"55.8","C","C","2"
"T2-A1-a3","A1","21.4",8.2,4.8,"34.4","C","C","2"
"T2-A2-a1","A2","33.8",5.8,4.6,"44.2","C","C","2"
"T2-A2-a2","A2","16",6.2,3.4,"25.6","C","C","2"
"T2-A2-a3","A2","12",5.6,3.8,"21.4","C","C","2"
"T2-A3-a1","A3","34",6.2,5.8,"46","C","C","2"
"T2-A3-a2","A3","26.2",6.8,6,"39","C","C","2"
"T2-A3-a3","A3","30.4",6.4,5.6,"42.4","C","C","2"
"T2-A4-a1","A4","25.2",6.6,3.6,"35.4","C","C","2"
