"label","timepoint","cage","cage.treat","cage.treat2","rep","X184.F","X188.F","X192.F","X208.F","X212.F","X216.F","X232.F","X236.F","X240.F","X256.F","X260.F","X264.F","X280.F","X284.F","X288.F","X304.F","X308.F","X312.F","X328.F","X332.F","X336.F","X352.F","X356.F","X360.F","X376.F","X380.F","X384.F","X400.F","X404.F","X408.F","F.total.Count","F.count.x.time","F.AVG.LD"
"B-0-At1",0,"founder","MA","AT",1,0,0,2,12,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"5756","213.1851852"
"B-0-At2",0,"founder","MA","AT",2,0,0,5,8,4,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,"5304","212.16"
"B-0-At3",0,"founder","MA","AT",3,1,1,1,4,5,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,"4528","215.6190476"
"B-0-At4",0,"founder","MA","AT",4,1,1,0,4,4,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,"4512","214.8571429"
"B-1-a1",0,"founder","C","C",1,0,0,0,1,0,4,4,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,"3112","239.3846154"
"B-1-a2",0,"founder","C","C",2,0,0,0,0,0,4,7,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"3752","234.5"
"B-1-a3",0,"founder","C","C",3,0,0,0,1,0,3,7,0,5,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"4760","238"
"B-1-a4",0,"founder","C","C",4,0,0,0,0,0,5,6,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"4216","234.2222222"
"B-2-a1",0,"founder","C","C",1,0,0,0,2,0,5,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,"3176","226.8571429"
"B-2-a2",0,"founder","C","C",2,0,0,0,0,0,6,3,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"4464","234.9473684"
